Title,Price,Release,VOD,Opening,Peak,Days,Countries,Revenue,Genre
Beasts of the southern wild,1000000,limited,3,4,269,268,45,21000000,drama
Red lights,4000000,limited,6,310,310,35,40,13000000,thriller
the words,2000000,wide,2,2801,2801,0,33,11490000,drama
the sessions,6000000,limited,3,4,516,147,41,9000000,dramedy
arbitrage,0,limited,4,19,255,126,45,7900000,drama
Safety Not Guaranteed,1000000,limited,6,9,182,129,9,4000000,comedy
searching for sugar man,500000,limited,6,3,157,360,24,3600000,documentary
celeste&jesse forever,2000000,limited,5,4,54,133,20,3100000,dramedy
the pact,750000,vod,6,33,254,30,4,3000000,horror
robot & frank,2000000,limited,3,2,208,137,24,3000000,comedy
queen of versailles,500000,limited,6,3,89,126,3,2400000,documentary
Lay The Favorite,2000000,limited,7,61,61,0,15,155000,dramedy
Chasing Ice,0,limited,7,0,53,175,2,1300000,documentary
for a good time call,3000000,limited,5,23,107,42,3,1200000,comedy
2 days in new york,0,limited,7,2,23,98,28,630000,dramedy
Bachelorette,2000000,limited,7,47,60,35,37,450000,romance
shadow dancer,1000000,limited,0,14,166,52,15,415000,drama
Smashed,1000000,limited,5,0,0,91,3,377000,dramedy
compliance,0,limited,6,1,21,77,8,318000,crime
liberal arts,1000000,limited,4,4,32,69,8,317000,dramedy
something from nothing,0,limited,5,157,157,20,4,288000,documentary
Middle of Nowhere,500000,limited,1,25,25,63,1,237000,dramedy
Room 237,0,limited,1,2,28,49,5,237000,documentary
Tim and Erics Billion Dollar Movie,0,limited,7,6,33,49,3,201000,comedy
Payback,0,limited,4,3,3,100,2,180000,action
LUV,0,limited,7,3,45,28,1,136000,crime
how to survive a plague,750000,limited,6,4,19,55,2,122000,documentary
5 broken cameras,0,limited,7,1,6,345,5,108000,documentary
VHS,1000000,vod,6,15,19,42,13,99000,horror
The invisible War,0,limited,7,4,7,196,1,71000,documentary
wish you were here,0,limited,2,11,11,21,2,45000,drama
simon killer,0,limited,0,1,5,35,2,28000,drama
nobody walks,600000,limited,6,2,7,35,1,25000,drama
28 Hotel Rooms,0,limited,4,5,5,35,4,19000,drama
mosquita y mari,0,limited,2,1,1,9,1,9000,drama
the comedy,0,vod,1,1,1,56,1,6000,drama
Putin's Kiss,0,limited,3,1,1,0,1,5000,documentary
Excision,0,limited,5,3,3,2,1,2700,comedy
black rock,1000000,vod,4,0,0,0,0,0,horror
